Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
470,470.7587,Acinetobacter baumannii strain MRSN7069,ampicillin/sulbactam,Susceptible,2/1,<=,2/1,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7807,Acinetobacter baumannii strain MRSN7388,trimethoprim/sulfamethoxazole,Resistant,2/38,>,2/38,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7688,Acinetobacter baumannii strain MRSN7232,ampicillin/sulbactam,Resistant,16/8,>,16/8,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7928,Acinetobacter baumannii strain MRSN7570,tobramycin,Resistant,16,>=,16,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7936,Acinetobacter baumannii strain MRSN7582,aztreonam,Resistant,16,=,16,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.1562,Acinetobacter baumannii strain MRSN3941,ceftriaxone,Resistant,>32,>,32,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,23812239
470,470.7744,Acinetobacter baumannii strain MRSN7305,ciprofloxacin,Resistant,2,>,2,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7551,Acinetobacter baumannii strain MRSN15081,ceftazidime,Resistant,16,>,16,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7823,Acinetobacter baumannii strain MRSN7408,ceftazidime,Intermediate,16,=,16,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7773,Acinetobacter baumannii strain MRSN7349,tobramycin,Susceptible,2,=,2,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7816,Acinetobacter baumannii strain MRSN7401,tetracycline,Resistant,8,>,8,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7653,Acinetobacter baumannii strain MRSN7170,ceftriaxone,Resistant,32,>,32,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7499,Acinetobacter baumannii strain MRSN11797,ceftriaxone,Resistant,32,>,32,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7439,Acinetobacter baumannii strain MRSN11708,carbapenem,Resistant,,,,,,,,,,,AdaBoost Classifier,,"Accuracy:0.936, F1 score:0.942, AUC:0.957",Computational Method,,
470,470.7693,Acinetobacter baumannii strain MRSN7238,tobramycin,Susceptible,4,<=,4,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7603,Acinetobacter baumannii strain MRSN7108,imipenem,Resistant,8,>,8,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7469,Acinetobacter baumannii strain MRSN11753,ceftriaxone,Resistant,32,>,32,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7809,Acinetobacter baumannii strain MRSN7390,ceftriaxone,Resistant,32,>,32,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7824,Acinetobacter baumannii strain MRSN7409,ciprofloxacin,Resistant,4,>=,4,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7918,Acinetobacter baumannii strain MRSN7557,cefuroxime,Resistant,16,>,16,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7505,Acinetobacter baumannii strain MRSN11811,amikacin,Susceptible,8,<=,8,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7463,Acinetobacter baumannii strain MRSN11746,ceftazidime,Resistant,16,>,16,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7975,Acinetobacter baumannii strain MRSN7655,trimethoprim/sulfamethoxazole,Susceptible,2/38,<=,2/38,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7513,Acinetobacter baumannii strain MRSN11822,ampicillin,Resistant,32,>=,32,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7849,Acinetobacter baumannii strain MRSN7454,ceftriaxone,Resistant,64,>=,64,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7503,Acinetobacter baumannii strain MRSN11806,moxifloxacin,Resistant,8,>=,8,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7747,Acinetobacter baumannii strain MRSN7309,aztreonam,Resistant,16,>,16,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7747,Acinetobacter baumannii strain MRSN7309,nitrofurantoin,Resistant,512,>=,512,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7515,Acinetobacter baumannii strain MRSN11825,ceftazidime,Susceptible,4,=,4,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7826,Acinetobacter baumannii strain MRSN7411,cefazolin,Resistant,64,>=,64,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7809,Acinetobacter baumannii strain MRSN7390,tobramycin,Resistant,8,>,8,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7421,Acinetobacter baumannii strain MRSN11669,amikacin,Susceptible,8,<=,8,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.1563,Acinetobacter baumannii strain MRSN5540,gentamicin,Resistant,>8,>,8,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,23812239
470,470.7681,Acinetobacter baumannii strain MRSN7223,cefazolin,Resistant,64,>=,64,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7449,Acinetobacter baumannii strain MRSN11723,ampicillin,Resistant,32,>=,32,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7789,Acinetobacter baumannii strain MRSN7366,trimethoprim/sulfamethoxazole,Resistant,2/38,>,2/38,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.1564,Acinetobacter baumannii strain MRSN6269,ceftriaxone,Resistant,>32,>,32,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,23812239
470,470.7794,Acinetobacter baumannii strain MRSN7373,ceftazidime,Intermediate,16,=,16,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.7946,Acinetobacter baumannii strain MRSN7599,gentamicin,Resistant,8,>,8,mg/L,Broth dilution,,BD Phoenix,BD,CLSI,,,,,Laboratory Method,,
470,470.7437,Acinetobacter baumannii strain MRSN11706,aztreonam,Intermediate,16,=,16,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.8031,Acinetobacter baumannii strain MRSN7751,ceftazidime,Intermediate,16,=,16,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.751,Acinetobacter baumannii strain MRSN11819,ceftazidime,Resistant,16,>,16,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
470,470.7773,Acinetobacter baumannii strain MRSN7349,nitrofurantoin,Resistant,512,>=,512,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,,,,Laboratory Method,,
470,470.8017,Acinetobacter baumannii strain MRSN7718,levofloxacin,Resistant,4,>,4,mg/L,Broth dilution,,MicroScan,Siemens,CLSI,,,,,Laboratory Method,,
