Genome ID,Genome Name,Laboratory Typing Platform,PubMed
470.7795,Acinetobacter baumannii strain MRSN7375,BD Phoenix,
470.7795,Acinetobacter baumannii strain MRSN7375,VITEK 2,
470.7795,Acinetobacter baumannii strain MRSN7375,MicroScan,
470.7797,Acinetobacter baumannii strain MRSN7377,MicroScan,
470.7797,Acinetobacter baumannii strain MRSN7377,BD Phoenix,
470.7797,Acinetobacter baumannii strain MRSN7377,VITEK 2,
470.7798,Acinetobacter baumannii strain MRSN7378,VITEK 2,
470.7798,Acinetobacter baumannii strain MRSN7378,BD Phoenix,
470.7798,Acinetobacter baumannii strain MRSN7378,MicroScan,
470.7799,Acinetobacter baumannii strain MRSN7379,BD Phoenix,
470.7799,Acinetobacter baumannii strain MRSN7379,VITEK 2,
470.7799,Acinetobacter baumannii strain MRSN7379,MicroScan,
470.7805,Acinetobacter baumannii strain MRSN7386,BD Phoenix,
470.7805,Acinetobacter baumannii strain MRSN7386,MicroScan,
470.7805,Acinetobacter baumannii strain MRSN7386,VITEK 2,
470.7806,Acinetobacter baumannii strain MRSN7387,MicroScan,
470.7806,Acinetobacter baumannii strain MRSN7387,BD Phoenix,
470.7806,Acinetobacter baumannii strain MRSN7387,VITEK 2,
470.7807,Acinetobacter baumannii strain MRSN7388,VITEK 2,
470.7807,Acinetobacter baumannii strain MRSN7388,BD Phoenix,
470.7807,Acinetobacter baumannii strain MRSN7388,MicroScan,
470.7808,Acinetobacter baumannii strain MRSN7389,MicroScan,
470.7808,Acinetobacter baumannii strain MRSN7389,BD Phoenix,
470.7808,Acinetobacter baumannii strain MRSN7389,VITEK 2,
470.7809,Acinetobacter baumannii strain MRSN7390,VITEK 2,
470.7809,Acinetobacter baumannii strain MRSN7390,MicroScan,
470.7809,Acinetobacter baumannii strain MRSN7390,BD Phoenix,
470.7811,Acinetobacter baumannii strain MRSN7392,VITEK 2,
470.7811,Acinetobacter baumannii strain MRSN7392,BD Phoenix,
470.7811,Acinetobacter baumannii strain MRSN7392,MicroScan,
470.7813,Acinetobacter baumannii strain MRSN7394,BD Phoenix,
470.7813,Acinetobacter baumannii strain MRSN7394,MicroScan,
470.7813,Acinetobacter baumannii strain MRSN7394,VITEK 2,
470.7816,Acinetobacter baumannii strain MRSN7401,MicroScan,
470.7816,Acinetobacter baumannii strain MRSN7401,VITEK 2,
470.7816,Acinetobacter baumannii strain MRSN7401,BD Phoenix,
470.7817,Acinetobacter baumannii strain MRSN7402,BD Phoenix,
470.7817,Acinetobacter baumannii strain MRSN7402,MicroScan,
470.7817,Acinetobacter baumannii strain MRSN7402,VITEK 2,
470.7818,Acinetobacter baumannii strain MRSN7403,VITEK 2,
470.7818,Acinetobacter baumannii strain MRSN7403,BD Phoenix,
470.7818,Acinetobacter baumannii strain MRSN7403,MicroScan,
470.7819,Acinetobacter baumannii strain MRSN7404,BD Phoenix,
470.7819,Acinetobacter baumannii strain MRSN7404,MicroScan,
470.7819,Acinetobacter baumannii strain MRSN7404,VITEK 2,
470.7822,Acinetobacter baumannii strain MRSN7407,MicroScan,
470.7822,Acinetobacter baumannii strain MRSN7407,VITEK 2,
470.7822,Acinetobacter baumannii strain MRSN7407,BD Phoenix,
470.7823,Acinetobacter baumannii strain MRSN7408,BD Phoenix,
470.7823,Acinetobacter baumannii strain MRSN7408,MicroScan,
470.7823,Acinetobacter baumannii strain MRSN7408,VITEK 2,
470.7824,Acinetobacter baumannii strain MRSN7409,BD Phoenix,
470.7824,Acinetobacter baumannii strain MRSN7409,MicroScan,
470.7824,Acinetobacter baumannii strain MRSN7409,VITEK 2,
470.7826,Acinetobacter baumannii strain MRSN7411,VITEK 2,
470.7826,Acinetobacter baumannii strain MRSN7411,BD Phoenix,
470.7826,Acinetobacter baumannii strain MRSN7411,MicroScan,
470.7828,Acinetobacter baumannii strain MRSN7413,VITEK 2,
470.7828,Acinetobacter baumannii strain MRSN7413,BD Phoenix,
470.7828,Acinetobacter baumannii strain MRSN7413,MicroScan,
470.7829,Acinetobacter baumannii strain MRSN7414,MicroScan,
470.7829,Acinetobacter baumannii strain MRSN7414,BD Phoenix,
470.7829,Acinetobacter baumannii strain MRSN7414,VITEK 2,
470.7831,Acinetobacter baumannii strain MRSN7416,VITEK 2,
470.7831,Acinetobacter baumannii strain MRSN7416,MicroScan,
470.7831,Acinetobacter baumannii strain MRSN7416,BD Phoenix,
470.7832,Acinetobacter baumannii strain MRSN7417,MicroScan,
470.7832,Acinetobacter baumannii strain MRSN7417,VITEK 2,
470.7832,Acinetobacter baumannii strain MRSN7417,BD Phoenix,
470.7833,Acinetobacter baumannii strain MRSN7418,BD Phoenix,
470.7833,Acinetobacter baumannii strain MRSN7418,VITEK 2,
470.7833,Acinetobacter baumannii strain MRSN7418,MicroScan,
470.7834,Acinetobacter baumannii strain MRSN7419,BD Phoenix,
470.7834,Acinetobacter baumannii strain MRSN7419,MicroScan,
470.7834,Acinetobacter baumannii strain MRSN7419,VITEK 2,
470.7836,Acinetobacter baumannii strain MRSN7421,BD Phoenix,
470.7836,Acinetobacter baumannii strain MRSN7421,MicroScan,
470.7836,Acinetobacter baumannii strain MRSN7421,VITEK 2,
470.7837,Acinetobacter baumannii strain MRSN7423,MicroScan,
470.7837,Acinetobacter baumannii strain MRSN7423,BD Phoenix,
470.7837,Acinetobacter baumannii strain MRSN7423,VITEK 2,
470.7839,Acinetobacter baumannii strain MRSN7434,BD Phoenix,
470.7839,Acinetobacter baumannii strain MRSN7434,MicroScan,
470.7839,Acinetobacter baumannii strain MRSN7434,VITEK 2,
470.7843,Acinetobacter baumannii strain MRSN7438,MicroScan,
470.7843,Acinetobacter baumannii strain MRSN7438,VITEK 2,
470.7843,Acinetobacter baumannii strain MRSN7438,BD Phoenix,
470.7845,Acinetobacter baumannii strain MRSN7441,BD Phoenix,
470.7845,Acinetobacter baumannii strain MRSN7441,VITEK 2,
470.7845,Acinetobacter baumannii strain MRSN7441,MicroScan,
470.7847,Acinetobacter baumannii strain MRSN7447,VITEK 2,
470.7847,Acinetobacter baumannii strain MRSN7447,MicroScan,
470.7847,Acinetobacter baumannii strain MRSN7447,BD Phoenix,
470.7848,Acinetobacter baumannii strain MRSN7448,MicroScan,
470.7848,Acinetobacter baumannii strain MRSN7448,BD Phoenix,
470.7848,Acinetobacter baumannii strain MRSN7448,VITEK 2,
470.7849,Acinetobacter baumannii strain MRSN7454,MicroScan,
470.7849,Acinetobacter baumannii strain MRSN7454,BD Phoenix,
470.7849,Acinetobacter baumannii strain MRSN7454,VITEK 2,
470.7852,Acinetobacter baumannii strain MRSN7457,MicroScan,
470.7852,Acinetobacter baumannii strain MRSN7457,BD Phoenix,
470.7852,Acinetobacter baumannii strain MRSN7457,VITEK 2,
470.7854,Acinetobacter baumannii strain MRSN7460,MicroScan,
470.7854,Acinetobacter baumannii strain MRSN7460,VITEK 2,
470.7854,Acinetobacter baumannii strain MRSN7460,BD Phoenix,
470.7855,Acinetobacter baumannii strain MRSN7459,BD Phoenix,
470.7855,Acinetobacter baumannii strain MRSN7459,VITEK 2,
470.7855,Acinetobacter baumannii strain MRSN7459,MicroScan,
470.7856,Acinetobacter baumannii strain MRSN7461,MicroScan,
470.7856,Acinetobacter baumannii strain MRSN7461,VITEK 2,
470.7856,Acinetobacter baumannii strain MRSN7461,BD Phoenix,
470.7857,Acinetobacter baumannii strain MRSN7462,MicroScan,
470.7857,Acinetobacter baumannii strain MRSN7462,VITEK 2,
470.7857,Acinetobacter baumannii strain MRSN7462,BD Phoenix,
470.7861,Acinetobacter baumannii strain MRSN7468,MicroScan,
470.7861,Acinetobacter baumannii strain MRSN7468,BD Phoenix,
470.7861,Acinetobacter baumannii strain MRSN7468,VITEK 2,
470.7862,Acinetobacter baumannii strain MRSN7469,MicroScan,
470.7862,Acinetobacter baumannii strain MRSN7469,VITEK 2,
470.7862,Acinetobacter baumannii strain MRSN7469,BD Phoenix,
470.7866,Acinetobacter baumannii strain MRSN7474,MicroScan,
470.7866,Acinetobacter baumannii strain MRSN7474,VITEK 2,
470.7866,Acinetobacter baumannii strain MRSN7474,BD Phoenix,
470.7867,Acinetobacter baumannii strain MRSN7475,BD Phoenix,
470.7867,Acinetobacter baumannii strain MRSN7475,VITEK 2,
470.7867,Acinetobacter baumannii strain MRSN7475,MicroScan,
470.7869,Acinetobacter baumannii strain MRSN7478,VITEK 2,
470.7869,Acinetobacter baumannii strain MRSN7478,BD Phoenix,
470.7869,Acinetobacter baumannii strain MRSN7478,MicroScan,
470.7871,Acinetobacter baumannii strain MRSN7481,MicroScan,
470.7871,Acinetobacter baumannii strain MRSN7481,BD Phoenix,
470.7871,Acinetobacter baumannii strain MRSN7481,VITEK 2,
470.7875,Acinetobacter baumannii strain MRSN7485,VITEK 2,
470.7875,Acinetobacter baumannii strain MRSN7485,MicroScan,
470.7875,Acinetobacter baumannii strain MRSN7485,BD Phoenix,
470.7883,Acinetobacter baumannii strain MRSN7497,BD Phoenix,
470.7883,Acinetobacter baumannii strain MRSN7497,VITEK 2,
470.7883,Acinetobacter baumannii strain MRSN7497,MicroScan,
470.7884,Acinetobacter baumannii strain MRSN7498,VITEK 2,
470.7884,Acinetobacter baumannii strain MRSN7498,MicroScan,
470.7884,Acinetobacter baumannii strain MRSN7498,BD Phoenix,
470.7901,Acinetobacter baumannii strain MRSN7521,BD Phoenix,
470.7901,Acinetobacter baumannii strain MRSN7521,VITEK 2,
470.7901,Acinetobacter baumannii strain MRSN7521,MicroScan,
470.7918,Acinetobacter baumannii strain MRSN7557,MicroScan,
470.7918,Acinetobacter baumannii strain MRSN7557,BD Phoenix,
470.7918,Acinetobacter baumannii strain MRSN7557,VITEK 2,
470.7928,Acinetobacter baumannii strain MRSN7570,VITEK 2,
470.7928,Acinetobacter baumannii strain MRSN7570,MicroScan,
470.7928,Acinetobacter baumannii strain MRSN7570,BD Phoenix,
470.7933,Acinetobacter baumannii strain MRSN7578,MicroScan,
470.7933,Acinetobacter baumannii strain MRSN7578,VITEK 2,
470.7933,Acinetobacter baumannii strain MRSN7578,BD Phoenix,
470.7936,Acinetobacter baumannii strain MRSN7582,MicroScan,
470.7936,Acinetobacter baumannii strain MRSN7582,VITEK 2,
470.7936,Acinetobacter baumannii strain MRSN7582,BD Phoenix,
470.7946,Acinetobacter baumannii strain MRSN7599,MicroScan,
470.7946,Acinetobacter baumannii strain MRSN7599,VITEK 2,
470.7946,Acinetobacter baumannii strain MRSN7599,BD Phoenix,
470.7954,Acinetobacter baumannii strain MRSN7617,BD Phoenix,
470.7954,Acinetobacter baumannii strain MRSN7617,VITEK 2,
470.7954,Acinetobacter baumannii strain MRSN7617,MicroScan,
470.7962,Acinetobacter baumannii strain MRSN7636,BD Phoenix,
470.7962,Acinetobacter baumannii strain MRSN7636,VITEK 2,
470.7962,Acinetobacter baumannii strain MRSN7636,MicroScan,
470.7965,Acinetobacter baumannii strain MRSN7640,BD Phoenix,
470.7965,Acinetobacter baumannii strain MRSN7640,MicroScan,
470.7965,Acinetobacter baumannii strain MRSN7640,VITEK 2,
470.7975,Acinetobacter baumannii strain MRSN7655,MicroScan,
470.7975,Acinetobacter baumannii strain MRSN7655,VITEK 2,
470.7975,Acinetobacter baumannii strain MRSN7655,BD Phoenix,
470.7979,Acinetobacter baumannii strain MRSN7660,BD Phoenix,
470.7979,Acinetobacter baumannii strain MRSN7660,MicroScan,
470.7979,Acinetobacter baumannii strain MRSN7660,VITEK 2,
470.7982,Acinetobacter baumannii strain MRSN7668,MicroScan,
470.7982,Acinetobacter baumannii strain MRSN7668,BD Phoenix,
470.7982,Acinetobacter baumannii strain MRSN7668,VITEK 2,
470.7984,Acinetobacter baumannii strain MRSN7670,VITEK 2,
470.7984,Acinetobacter baumannii strain MRSN7670,BD Phoenix,
470.7984,Acinetobacter baumannii strain MRSN7670,MicroScan,
470.7991,Acinetobacter baumannii strain MRSN7677,BD Phoenix,
470.7991,Acinetobacter baumannii strain MRSN7677,MicroScan,
470.7991,Acinetobacter baumannii strain MRSN7677,VITEK 2,
470.8007,Acinetobacter baumannii strain MRSN7706,BD Phoenix,
470.8007,Acinetobacter baumannii strain MRSN7706,MicroScan,
470.8007,Acinetobacter baumannii strain MRSN7706,VITEK 2,
470.8008,Acinetobacter baumannii strain MRSN7707,VITEK 2,
470.8008,Acinetobacter baumannii strain MRSN7707,MicroScan,
470.8008,Acinetobacter baumannii strain MRSN7707,BD Phoenix,
470.8017,Acinetobacter baumannii strain MRSN7718,MicroScan,
470.8017,Acinetobacter baumannii strain MRSN7718,VITEK 2,
470.8017,Acinetobacter baumannii strain MRSN7718,BD Phoenix,
470.8024,Acinetobacter baumannii strain MRSN7730,MicroScan,
470.8024,Acinetobacter baumannii strain MRSN7730,VITEK 2,
470.8024,Acinetobacter baumannii strain MRSN7730,BD Phoenix,
470.8031,Acinetobacter baumannii strain MRSN7751,BD Phoenix,
470.8031,Acinetobacter baumannii strain MRSN7751,VITEK 2,
470.8031,Acinetobacter baumannii strain MRSN7751,MicroScan,
470.8041,Acinetobacter baumannii strain MRSN7776,VITEK 2,
470.8041,Acinetobacter baumannii strain MRSN7776,MicroScan,
470.8041,Acinetobacter baumannii strain MRSN7776,BD Phoenix,
470.8047,Acinetobacter baumannii strain MRSN7790,VITEK 2,
470.8047,Acinetobacter baumannii strain MRSN7790,MicroScan,
470.8047,Acinetobacter baumannii strain MRSN7790,BD Phoenix,
470.8059,Acinetobacter baumannii strain MRSN7815,VITEK 2,
470.8059,Acinetobacter baumannii strain MRSN7815,MicroScan,
470.8059,Acinetobacter baumannii strain MRSN7815,BD Phoenix,
470.8065,Acinetobacter baumannii strain MRSN7822,MicroScan,
470.8065,Acinetobacter baumannii strain MRSN7822,BD Phoenix,
470.8065,Acinetobacter baumannii strain MRSN7822,VITEK 2,
470.8071,Acinetobacter baumannii strain MRSN7834,MicroScan,
470.8071,Acinetobacter baumannii strain MRSN7834,VITEK 2,
470.8071,Acinetobacter baumannii strain MRSN7834,BD Phoenix,
470.8072,Acinetobacter baumannii strain MRSN83,BD Phoenix,
470.8072,Acinetobacter baumannii strain MRSN83,MicroScan,
470.8072,Acinetobacter baumannii strain MRSN83,VITEK 2,
470.8074,Acinetobacter baumannii strain MRSN85,BD Phoenix,
470.8074,Acinetobacter baumannii strain MRSN85,MicroScan,
470.8074,Acinetobacter baumannii strain MRSN85,VITEK 2,
470.8081,Acinetobacter baumannii strain MRSN8899,MicroScan,
470.8081,Acinetobacter baumannii strain MRSN8899,VITEK 2,
470.8081,Acinetobacter baumannii strain MRSN8899,BD Phoenix,
470.8082,Acinetobacter baumannii strain MRSN89,BD Phoenix,
470.8082,Acinetobacter baumannii strain MRSN89,MicroScan,
470.8082,Acinetobacter baumannii strain MRSN89,VITEK 2,
470.8084,Acinetobacter baumannii strain MRSN8900,VITEK 2,
470.8084,Acinetobacter baumannii strain MRSN8900,MicroScan,
470.8084,Acinetobacter baumannii strain MRSN8900,BD Phoenix,
470.8085,Acinetobacter baumannii strain MRSN8901,BD Phoenix,
470.8085,Acinetobacter baumannii strain MRSN8901,VITEK 2,
470.8085,Acinetobacter baumannii strain MRSN8901,MicroScan,
470.8086,Acinetobacter baumannii strain MRSN8902,VITEK 2,
470.8086,Acinetobacter baumannii strain MRSN8902,MicroScan,
470.8086,Acinetobacter baumannii strain MRSN8902,BD Phoenix,
470.8087,Acinetobacter baumannii strain MRSN8903,MicroScan,
470.8087,Acinetobacter baumannii strain MRSN8903,BD Phoenix,
470.8087,Acinetobacter baumannii strain MRSN8903,VITEK 2,
470.8092,Acinetobacter baumannii strain MRSN908,MicroScan,
470.8092,Acinetobacter baumannii strain MRSN908,BD Phoenix,
470.8092,Acinetobacter baumannii strain MRSN908,VITEK 2,
